cont,n_est,max_samp,thr_pct,f1
0.2,200,auto,26.0,0.5348223707351389
0.2,200,auto,27.0,0.5381882770870338
0.2,200,auto,28.0,0.5414424111948332
0.2,200,auto,29.0,0.5445320286309686
0.2,200,auto,30.0,0.5475514874141877
0.2,200,0.8,10.0,0.4717683714567976
0.2,200,0.8,11.0,0.4757817290006131
0.2,200,0.8,12.0,0.47990105132962274
0.2,200,0.8,13.0,0.4840923268870867
0.2,200,0.8,14.0,0.4883574575204531
0.2,200,0.8,15.0,0.4926593127529561
0.2,200,0.8,16.0,0.49707742813676037
0.2,200,0.8,17.0,0.5015755029490183
0.2,200,0.8,18.0,0.5061144627425403
0.2,200,0.8,19.0,0.5107783445779167
0.2,200,0.8,20.0,0.5155289818966949
0.2,200,0.8,21.0,0.5203688181056161
0.2,200,0.8,22.0,0.5252559438192741
0.2,200,0.8,23.0,0.5302810284445204
0.2,200,0.8,24.0,0.5354031910306166
0.2,200,0.8,25.0,0.5406252721414264
0.2,200,0.8,26.0,0.5459022159690468
0.2,200,0.8,27.0,0.5513321492007105
0.2,200,0.8,28.0,0.5568711876569788
0.2,200,0.8,29.0,0.5624716861465978
0.2,200,0.8,30.0,0.5682379862700229
